Mes-Año,Valor
1/7/2016,57744.0227320411
1/8/2016,61023.7016962901
1/9/2016,65158.3165651491
1/10/2016,66344.5610814207
1/11/2016,72596.5869304375
1/12/2016,68573.78642178
1/1/2017,63612.12279729928
1/2/2017,61485.99255736286
1/3/2017,62315.9089265907
1/4/2017,57299.49349672744
1/5/2017,61355.96402177558
1/6/2017,52497.27907370457
1/7/2017,53384.8879619531
1/8/2017,52403.67184290785
1/9/2017,53015.36696218827
1/10/2017,55702.34954598857
1/11/2017,61667.30515819664
1/12/2017,59485.57127430331
1/1/2018,56022.69643388479
1/2/2018,55279.96332191891
1/3/2018,54994.78175950716
1/4/2018,52266.65033745415
1/5/2018,48062.47033721282
1/6/2018,50911.13607062925
1/7/2018,50795.52906813477
1/8/2018,51249.74692664235
1/9/2018,53302.86323609452
1/10/2018,56703.88287460677
1/11/2018,60205.71774065942
1/12/2018,59764.30215699934
1/1/2019,61741.55379589051
1/2/2019,50416.96054088081
1/3/2019,57713.04865045692
1/4/2019,55069.48364236033
1/5/2019,56733.54203132298
1/6/2019,51126.14703623143
1/7/2019,55179.81452645224
1/8/2019,52903.22080964738
1/9/2019,53164.22608538745
1/10/2019,60041.87752017507
1/11/2019,64818.916485954
1/12/2019,65734.67279871652
1/1/2020,64515.22828809124
1/2/2020,64139.40038329389
1/3/2020,55460.76854947829
1/4/2020,40560.08006455066
1/5/2020,40870.69566824244
1/6/2020,47013.73721403287
1/7/2020,38577.15612793529
1/8/2020,37978.53363250341
1/9/2020,38792.4743304215
1/10/2020,41028.87277631966
1/11/2020,44016.30427577917
1/12/2020,41917.07189712641
1/1/2021,41105.93621906784
1/2/2021,43402.92379933041
