Comuna,Frecuencia casos policiales robo lugar habitado (DMCS 2008-2019)
Pedro aguirre cerda,3085
Pelarco,285
Pelluhue,404
Pemuco,215
Pencahue,173
Penco,1803
Peñaflor,4429
Peñalolén,8569
Peralillo,188
Perquenco,158
Petorca,225
Peumo,337
Pica,239
Pichidegua,299
Pichilemu,999
Pinto,405
Pirque,1714
Pitrufquén,883
Placilla,343
Portezuelo,45
Porvenir,92
Pozo almonte,1308
Primavera,7
Providencia,8371
Puchuncaví,3766
Pucón,3839
Pudahuel,7442
Puente alto,21222
Puerto montt,19623
Puerto octay,162
Puerto varas,2517
Pumanque,61
Punitaqui,420
Punta arenas,2763
Puqueldón,32
Purén,223
Purranque,501
Putaendo,735
Putre,35
Puyehue,289
Queilén,55
Quellón,853
Quemchi,67
Quilaco,83
Quilicura,7232
Quilleco,144
Quillón,1345
Quillota,3787
Quilpué,9976
Quinchao,107
Quinta de tilcoco,312
Quinta normal,4292
Quintero,4526
Quirihue,299
Rancagua,12258
Ránquil,135
Rauco,369
Recoleta,4826
Renaico,391
Renca,4456
Rengo,2723
Requínoa,1238
Retiro,477
Rinconada,439
Río bueno,909
Río claro,346
Río hurtado,47
Río ibáñez,45
Río negro,410
Río verde,1
Romeral,387
Saavedra,305
Sagrada familia,359
Salamanca,969
San antonio,5576
San bernardo,11123
San carlos,2244
San clemente,849
San esteban,920
San fabián,172
San felipe,5090
San fernando,5144
San gregorio,9
San ignacio,241
San javier,1563
San joaquín,2402
San josé de maipo,1105
San juan de la costa,333
San miguel,3921
San nicolás,289
San pablo,293
San pedro,384
San pedro de atacama,318
San pedro de la paz,7499
San rafael,277
San ramón,2231
San rosendo,68
San vicente,1684
Santa bárbara,546
Santa cruz,1563
Santa juana,525
Santa maria,789
Santiago,13229
Santo domingo,1424
Sierra gorda,123
Talagante,4020
Talca,10229
Talcahuano,5118
Taltal,547
Temuco,21091
Teno,882
Teodoro schmidt,259
Tierra amarilla,723
Tiltil,839
Timaukel,1
Tirúa,359
Tocopilla,1964
Toltén,127
Tome,1775
Torres del paine,11
Tortel,6
Traiguén,469
Treguaco,97
Tucapel,363
Valdivia,11210
Vallenar,1629
Valparaíso,20801
Vichuquén,124
Victoria,1484
Vicuña,1133
Vilcún,1209
Villa alegre,444
Villa alemana,7869
Villarrica,3773
Viña del mar,17892
Vitacura,3858
Yerbas buenas,439
Yumbel,767
Yungay,747
Zapallar,1221
