Comuna,Frecuencia casos policiales robo lugar habitado (DMCS 2008-2019)
Algarrobo,4337
Alhué,162
Alto biobío,78
Alto del carmen,99
Alto hospicio,8989
Ancud,1382
Andacollo,342
Angol,3034
Antofagasta,17052
Antuco,55
Arauco,1316
Arica,6960
Aysén,445
Buin,4342
Bulnes,619
Cabildo,536
Cabo de hornos,10
Cabrero,1180
Calama,11376
Calbuco,602
Caldera,2236
Calera de tango,1910
Calle larga,579
Camarones,47
Camiña,10
Canela,145
Cañete,1472
Carahue,483
Cartagena,4078
Casablanca,1325
Castro,2744
Catemu,593
Cauquenes,1154
Cerrillos,3192
Cerro navia,3134
Chaitén,60
Chanco,142
Chañaral,842
Chépica,276
Chiguayante,4034
Chile chico,88
Chillán,10632
Chillán viejo,1557
Chimbarongo,1226
Cholchol,279
Chonchi,350
Cisnes,79
Cobquecura,164
Cochamó,54
Cochrane,33
Codegua,822
Coelemu,459
Coihueco,594
Coinco,362
Colbún,518
Colchane,32
Colina,5799
Collipulli,847
Coltauco,508
Combarbalá,249
Concepción,11848
Conchalí,3285
Concón,3143
Constitución,1490
Contulmo,133
Copiapó,9091
Coquimbo,15979
Coronel,6251
Corral,107
Coyhaique,2479
Cunco,453
Curacautín,362
Curacaví,1670
Curaco de vélez,42
Curanilahue,2065
Curarrehue,195
Curepto,119
Curicó,9663
Dalcahue,352
Diego de almagro,593
Doñihue,1117
El bosque,4462
El carmen,197
El monte,1440
El quisco,6722
El tabo,4904
Empedrado,46
Ercilla,217
Estación central,4467
Florida,613
Freire,784
Freirina,119
Fresia,286
Frutillar,621
Futaleufú,25
Futrono,419
Galvarino,150
General lagos,19
Gorbea,642
Graneros,1657
Guaitecas,14
Hijuelas,403
Hualaihué,142
Hualañé,121
Hualpén,3865
Hualqui,986
Huara,122
Huasco,426
Huechuraba,2822
Illapel,1559
Independencia,2510
Iquique,8495
Isla de maipo,1733
Isla de pascua,421
Juan fernández,17
La calera,1666
La cisterna,3311
La cruz,977
La estrella,69
La florida,14782
La granja,3363
La higuera,225
La ligua,1931
La pintana,5042
La reina,6681
La serena,14697
La unión,1030
Lago ranco,191
Lago verde,15
Laguna blanca,0
Laja,925
Lampa,5867
Lanco,471
Las cabras,789
Las condes,10964
Lautaro,1014
Lebu,1269
Licantén,225
Limache,2450
Linares,7689
Litueche,193
Llaillay,1478
Llanquihue,564
Lo barnechea,4887
Lo espejo,2539
Lo prado,2648
Lolol,145
Loncoche,1177
Longaví,785
Lonquimay,98
Los álamos,719
Los andes,3095
Los ángeles,14215
Los lagos,643
Los muermos,247
Los sauces,188
Los vilos,1986
Lota,2965
Lumaco,169
Machalí,2862
Macul,4316
Máfil,260
Maipú,17293
Malloa,402
Marchigüe,133
Maria elena,254
Maria pinto,483
Mariquina,809
Maule,2075
Maullín,197
Mejillones,879
Melipeuco,110
Melipilla,6982
Molina,2073
Monte patria,606
Mostazal,1317
Mulchén,1039
Nacimiento,788
Nancagua,513
Natales,373
Navidad,262
Negrete,258
Ninhue,62
Nogales,609
Nueva imperial,1144
Ñiquén,213
Ñuñoa,10328
O'higgins,16
Olivar,737
Ollagüe,3
Olmué,1079
Osorno,5789
Ovalle,6108
Padre hurtado,2331
Padre las casas,2863
Paiguano,140
Paillaco,555
Paine,3280
Palena,29
Palmilla,259
Panguipulli,1226
Panquehue,223
Papudo,688
Paredones,75
Parral,2136
