Comuna,Cantidad de SAPU hasta el 2020
Algarrobo,1
Alhué,1
Alto hospicio,2
Ancud,1
Angol,2
Antofagasta,7
Arauco,3
Arica,2
Buin,1
Bulnes,1
Cabrero,1
Calama,3
Caldera,1
Calera,1
Camiña,1
Canela,1
Cartagena,1
Castro,1
Cauquenes,1
Cerrillos,2
Cerro navia,3
Chépica,1
Chiguayante,3
Chillán ,4
Chillán viejo,2
Chonchi,1
Cobquecura,1
Codegua,1
Coihueco,1
Colbún,2
Colchane,2
Colina,1
Coltauco,1
Con con,1
Concepción,6
Conchalí,3
Constitución,3
Copiapó,3
Coquimbo,5
Coronel,2
Coyhaique,3
Curanilahue,1
Curarrehue,1
Curicó,5
Dalcahue,1
Doñihue,1
El bosque,4
El monte,1
El quisco,1
El tabo,1
Empedrado,1
Ercilla,1
Estación central,2
Freire,1
Frutillar,1
Futrono,1
Gorbea,1
Hualpén,4
Hualqui,1
Huara,2
Huechuraba,2
Independencia,1
Iquique,5
Isla de maipo,2
Juan fernández,1
La cisterna,1
La estrella,1
La florida,8
La granja,3
La higuera,1
La pintana,5
La reina,1
La serena,6
La unión,1
Lago ranco,1
Lampa,2
Lanco,1
Las cabras,1
Las condes,1
Lautaro,1
Licantén,1
Linares,4
Lo barnechea,1
Lo espejo,4
Lo prado,4
Loncoche,1
Longaví,1
Los álamos,1
Los andes,1
Los ángeles,6
Los muermos,1
Los sauces,1
Lota,1
Lumaco,1
Machalí,1
Macul,1
Máfil,1
Maipú,3
Malloa,1
Maria elena,2
Maria pinto,1
Mariquina,1
Maule,1
Melipilla,2
Molina,1
Monte patria,1
Mostazal,1
Navidad,1
Ninhue,1
Nueva imperial,1
Ñiquén,1
Ñuñoa,2
Olivar,1
Osorno,3
Ovalle,5
Padre hurtado,1
Padre las casas,2
Paiguano,1
Paillaco,1
Paine,1
Panguipulli,4
Paredones,1
Parral,1
Pedro aguirre cerda,3
Pelarco,1
Pelluhue,1
Pemuco,1
Pencahue,1
Penco,1
Peñaflor,2
Peñalolén,4
Peralillo,1
Perquenco,1
Peumo,1
Pica,1
Pinto,1
Pirque,1
Pitrufquén,1
Placilla,2
Portezuelo,1
Pozo almonte,1
Providencia,2
Puchuncaví,1
Pucón,1
Pudahuel,4
Puente alto,6
Puerto montt,6
Puerto varas,1
Punitaqui,1
Punta arenas,3
Puqueldón,1
Putre,1
Puyehue,1
Quemchi,1
Quilaco,1
Quilicura,3
Quillón,1
Quillota,2
Quilpué,2
Quinta normal,2
Rancagua,6
Ránquil,1
Rauco,1
Recoleta,2
Renca,3
Rengo,2
Requínoa,1
Retiro,1
Río bueno,1
Río claro,1
Río hurtado,1
Romeral,1
Sagrada familia,2
San antonio,3
San bernardo,6
San carlos,1
San clemente,3
San fabián,1
San felipe,1
San fernando,2
San ignacio,3
San javier,1
San joaquín,2
San juan de la costa,2
San miguel,2
San nicolás,1
San pablo,1
San pedro,1
San pedro de atacama,2
San pedro de la paz,4
San rafael,1
San ramón,3
San vicente,1
Santa cruz,1
Santiago,1
Santo domingo,1
Sierra gorda,2
Talagante,3
Talca,7
Talcahuano,4
Temuco,8
Teno,1
Tiltil,1
Tirúa,1
Tome,2
Treguaco,1
Tucapel,1
Valdivia,5
Vallenar,2
Valparaíso,8
Vichuquén,1
Victoria,1
Villa alegre,1
Villa alemana,1
Villarrica,2
Viña del mar,5
Yerbas buenas,1
