Comuna,Frecuencia casos policiales lesiones (DMCS 2008-2019)
Algarrobo,1375
Alhué,429
Alto biobío,440
Alto del carmen,221
Alto hospicio,9044
Ancud,3004
Andacollo,1084
Angol,3976
Antofagasta,27440
Antuco,276
Arauco,2285
Arica,14718
Aysén,2011
Buin,5544
Bulnes,1346
Cabildo,1203
Cabo de hornos,98
Cabrero,2026
Calama,17337
Calbuco,2526
Caldera,2114
Calera de tango,1748
Calle larga,728
Camarones,91
Camiña,92
Canela,293
Cañete,2398
Carahue,1483
Cartagena,2405
Casablanca,2058
Castro,3806
Catemu,900
Cauquenes,2367
Cerrillos,7107
Cerro navia,8051
Chaitén,221
Chanco,520
Chañaral,1399
Chépica,677
Chiguayante,4595
Chile chico,389
Chillán,10239
Chillán viejo,1160
Chimbarongo,1944
Cholchol,651
Chonchi,900
Cisnes,516
Cobquecura,291
Cochamó,176
Cochrane,249
Codegua,955
Coelemu,1049
Coihueco,1002
Coinco,514
Colbún,1020
Colchane,74
Colina,9485
Collipulli,2209
Coltauco,811
Combarbalá,633
Concepción,16446
Conchalí,8087
Concón,3054
Constitución,3401
Contulmo,389
Copiapó,13613
Coquimbo,16280
Coronel,7563
Corral,406
Coyhaique,5297
Cunco,841
Curacautín,957
Curacaví,2268
Curaco de vélez,126
Curanilahue,2317
Curarrehue,473
Curepto,418
Curicó,9337
Dalcahue,751
Diego de almagro,1203
Doñihue,1533
El bosque,11054
El carmen,634
El monte,1795
El quisco,1606
El tabo,1392
Empedrado,297
Ercilla,689
Estación central,11827
Florida,631
Freire,1493
Freirina,391
Fresia,745
Frutillar,965
Futaleufú,155
Futrono,859
Galvarino,696
General lagos,26
Gorbea,824
Graneros,3011
Guaitecas,200
Hijuelas,575
Hualaihué,564
Hualañé,439
Hualpén,4232
Hualqui,1589
Huara,274
Huasco,781
Huechuraba,5301
Illapel,1694
Independencia,6660
Iquique,15118
Isla de maipo,2034
Isla de pascua,1236
Juan fernández,111
La calera,2714
La cisterna,6769
La cruz,1071
La estrella,79
La florida,22893
La granja,8239
La higuera,341
La ligua,2504
La pintana,13721
La reina,3878
La serena,13718
La unión,2173
Lago ranco,622
Lago verde,38
Laguna blanca,14
Laja,1563
Lampa,6559
Lanco,988
Las cabras,1306
Las condes,8255
Lautaro,2013
Lebu,2368
Licantén,538
Limache,2473
Linares,6211
Litueche,309
Llaillay,2002
Llanquihue,1149
Lo barnechea,4619
Lo espejo,7405
Lo prado,6593
Lolol,222
Loncoche,1457
Longaví,1819
Lonquimay,542
Los álamos,1542
Los andes,5797
Los ángeles,12660
Los lagos,1198
Los muermos,937
Los sauces,535
Los vilos,1817
Lota,3991
Lumaco,536
Machalí,2658
Macul,5246
Máfil,498
Maipú,22702
Malloa,855
Marchigüe,259
Maria elena,487
Maria pinto,683
Mariquina,1253
Maule,2240
Maullín,1111
Mejillones,1670
Melipeuco,311
Melipilla,7761
Molina,3181
Monte patria,1740
Mostazal,2080
Mulchén,1877
Nacimiento,1434
Nancagua,1006
Natales,1808
Navidad,287
Negrete,561
Ninhue,197
Nogales,802
Nueva imperial,1936
Ñiquén,432
Ñuñoa,8762
O'higgins,51
Olivar,1008
Ollagüe,25
Olmué,765
Osorno,10354
Ovalle,6483
Padre hurtado,3274
Padre las casas,2817
Paiguano,454
Paillaco,1347
Paine,3635
Palena,133
Palmilla,334
Panguipulli,2424
Panquehue,404
Papudo,367
Paredones,175
Parral,2708
Pedro aguirre cerda,7612
Pelarco,387
Pelluhue,533
Pemuco,458
Pencahue,366
Penco,3780
Peñaflor,5464
Peñalolén,14150
Peralillo,492
Perquenco,337
Petorca,541
Peumo,800
Pica,463
Pichidegua,805
Pichilemu,1340
Pinto,502
Pirque,1123
Pitrufquén,1386
Placilla,413
Portezuelo,168
Porvenir,635
Pozo almonte,1598
Primavera,30
Providencia,10909
Puchuncaví,1694
Pucón,2384
Pudahuel,14033
Puente alto,31536
Puerto montt,18108
Puerto octay,593
Puerto varas,2734
Pumanque,114
Punitaqui,461
Punta arenas,8709
Puqueldón,196
Purén,913
Purranque,1447
Putaendo,1069
Putre,123
Puyehue,660
Queilén,306
Quellón,2623
Quemchi,379
Quilaco,214
Quilicura,12110
Quilleco,509
Quillón,1094
Quillota,4587
Quilpué,8195
Quinchao,539
Quinta de tilcoco,788
Quinta normal,8012
Quintero,3136
Quirihue,872
Rancagua,20848
Ránquil,285
Rauco,470
Recoleta,14358
Renaico,869
Renca,10296
Rengo,5039
Requínoa,1978
Retiro,798
Rinconada,630
Río bueno,1968
Río claro,534
Río hurtado,112
Río ibáñez,152
Río negro,767
Río verde,7
Romeral,687
Saavedra,827
Sagrada familia,752
Salamanca,1726
San antonio,7506
San bernardo,21156
San carlos,3075
San clemente,1983
San esteban,1001
San fabián,201
San felipe,6705
San fernando,6188
San gregorio,37
San ignacio,719
San javier,3028
San joaquín,5186
San josé de maipo,1586
San juan de la costa,521
San miguel,5928
San nicolás,443
San pablo,558
San pedro,383
San pedro de atacama,883
San pedro de la paz,6129
San rafael,398
San ramón,5634
San rosendo,325
San vicente,2465
Santa bárbara,1193
Santa cruz,2388
Santa juana,885
Santa maria,897
Santiago,34944
Santo domingo,445
Sierra gorda,348
Talagante,4124
Talca,15704
Talcahuano,9028
Taltal,1168
Temuco,15733
Teno,1222
Teodoro schmidt,820
Tierra amarilla,1802
Tiltil,1402
Timaukel,13
Tirúa,714
Tocopilla,2558
Toltén,556
Tome,4172
Torres del paine,35
Tortel,45
Traiguén,1724
Treguaco,228
Tucapel,912
Valdivia,9933
Vallenar,3796
Valparaíso,23783
Vichuquén,225
Victoria,2531
Vicuña,1959
Vilcún,1399
Villa alegre,962
Villa alemana,5974
Villarrica,3361
Viña del mar,24712
Vitacura,2338
Yerbas buenas,933
Yumbel,1368
Yungay,1102
Zapallar,479
