Comuna,Frecuencia casos policiales robo con violencia o intimidación (DMCS 2008-2019)
Algarrobo,416
Alhué,42
Alto biobío,17
Alto del carmen,4
Alto hospicio,4889
Ancud,424
Andacollo,135
Angol,964
Antofagasta,15654
Antuco,16
Arauco,531
Arica,6519
Aysén,229
Buin,2693
Bulnes,239
Cabildo,240
Cabo de hornos,1
Cabrero,392
Calama,7507
Calbuco,308
Caldera,593
Calera de tango,1221
Calle larga,176
Camarones,3
Camiña,2
Canela,44
Cañete,621
Carahue,203
Cartagena,1106
Casablanca,526
Castro,870
Catemu,206
Cauquenes,331
Cerrillos,7171
Cerro navia,7615
Chaitén,3
Chanco,32
Chañaral,282
Chépica,72
Chiguayante,2245
Chile chico,18
Chillán,4437
Chillán viejo,361
Chimbarongo,409
Cholchol,59
Chonchi,102
Cisnes,15
Cobquecura,18
Cochamó,5
Cochrane,4
Codegua,172
Coelemu,123
Coihueco,117
Coinco,44
Colbún,121
Colchane,24
Colina,6574
Collipulli,469
Coltauco,130
Combarbalá,54
Concepción,17827
Conchalí,10170
Concón,1455
Constitución,442
Contulmo,32
Copiapó,6662
Coquimbo,7913
Coronel,4720
Corral,13
Coyhaique,866
Cunco,101
Curacautín,103
Curacaví,698
Curaco de vélez,4
Curanilahue,857
Curarrehue,20
Curepto,16
Curicó,4069
Dalcahue,100
Diego de almagro,137
Doñihue,224
El bosque,12208
El carmen,61
El monte,726
El quisco,489
El tabo,415
Empedrado,14
Ercilla,164
Estación central,16572
Florida,78
Freire,212
Freirina,28
Fresia,72
Frutillar,158
Futaleufú,3
Futrono,76
Galvarino,57
General lagos,1
Gorbea,145
Graneros,815
Guaitecas,6
Hijuelas,198
Hualaihué,22
Hualañé,27
Hualpén,3775
Hualqui,370
Huara,26
Huasco,118
Huechuraba,6102
Illapel,460
Independencia,7375
Iquique,11346
Isla de maipo,553
Isla de pascua,51
Juan fernández,0
La calera,1349
La cisterna,11193
La cruz,1792
La estrella,12
La florida,27528
La granja,11409
La higuera,44
La ligua,625
La pintana,14047
La reina,4219
La serena,6889
La unión,352
Lago ranco,21
Lago verde,0
Laguna blanca,0
Laja,258
Lampa,4157
Lanco,127
Las cabras,186
Las condes,8771
Lautaro,395
Lebu,411
Licantén,37
Limache,835
Linares,2156
Litueche,26
Llaillay,694
Llanquihue,214
Lo barnechea,2790
Lo espejo,8319
Lo prado,6522
Lolol,17
Loncoche,303
Longaví,149
Lonquimay,21
Los álamos,265
Los andes,2012
Los ángeles,7159
Los lagos,169
Los muermos,128
Los sauces,74
Los vilos,440
Lota,2047
Lumaco,29
Machalí,579
Macul,7335
Máfil,43
Maipú,29715
Malloa,163
Marchigüe,32
Maria elena,62
Maria pinto,122
Mariquina,192
Maule,374
Maullín,58
Mejillones,301
Melipeuco,23
Melipilla,5321
Molina,723
Monte patria,158
Mostazal,583
Mulchén,556
Nacimiento,312
Nancagua,163
Natales,127
Navidad,26
Negrete,69
Ninhue,15
Nogales,251
Nueva imperial,367
Ñiquén,56
Ñuñoa,12051
O'higgins,0
Olivar,170
Ollagüe,3
Olmué,158
Osorno,3044
Ovalle,2816
Padre hurtado,1739
Padre las casas,1079
Paiguano,16
Paillaco,155
Paine,1667
Palena,0
Palmilla,35
Panguipulli,254
Panquehue,61
Papudo,63
Paredones,10
Parral,573
Pedro aguirre cerda,6630
Pelarco,30
Pelluhue,41
Pemuco,126
Pencahue,28
Penco,1659
Peñaflor,2714
Peñalolén,10593
Peralillo,75
Perquenco,42
Petorca,47
Peumo,120
Pica,58
Pichidegua,110
Pichilemu,233
Pinto,46
Pirque,339
Pitrufquén,229
Placilla,43
Portezuelo,9
Porvenir,40
Pozo almonte,255
Primavera,1
Providencia,14967
Puchuncaví,509
Pucón,301
Pudahuel,16066
Puente alto,35307
Puerto montt,7938
Puerto octay,19
Puerto varas,673
Pumanque,11
Punitaqui,54
Punta arenas,1398
Puqueldón,4
Purén,79
Purranque,286
Putaendo,145
Putre,4
Puyehue,73
Queilén,5
Quellón,509
Quemchi,8
Quilaco,14
Quilicura,12549
Quilleco,34
Quillón,190
Quillota,1907
Quilpué,4916
Quinchao,16
Quinta de tilcoco,116
Quinta normal,11891
Quintero,1209
Quirihue,78
Rancagua,11330
Ránquil,48
Rauco,66
Recoleta,18969
Renaico,136
Renca,10011
Rengo,1172
Requínoa,411
Retiro,73
Rinconada,118
Río bueno,368
Río claro,54
Río hurtado,6
Río ibáñez,4
Río negro,117
Río verde,0
Romeral,123
Saavedra,65
Sagrada familia,108
Salamanca,260
San antonio,4246
San bernardo,26783
San carlos,772
San clemente,262
San esteban,187
San fabián,16
San felipe,2925
San fernando,2428
San gregorio,2
San ignacio,44
San javier,418
San joaquín,7193
San josé de maipo,220
San juan de la costa,25
San miguel,10751
San nicolás,44
San pablo,41
San pedro,118
San pedro de atacama,114
San pedro de la paz,4591
San rafael,71
San ramón,6622
San rosendo,25
San vicente,446
Santa bárbara,186
Santa cruz,417
Santa juana,139
Santa maria,166
Santiago,51047
Santo domingo,96
Sierra gorda,34
Talagante,2371
Talca,6759
Talcahuano,5769
Taltal,177
Temuco,9615
Teno,228
Teodoro schmidt,72
Tierra amarilla,245
Tiltil,467
Timaukel,1
Tirúa,112
Tocopilla,634
Toltén,25
Tome,887
Torres del paine,2
Tortel,0
Traiguén,243
Treguaco,10
Tucapel,112
Valdivia,3688
Vallenar,874
Valparaíso,20200
Vichuquén,9
Victoria,472
Vicuña,343
Vilcún,181
Villa alegre,102
Villa alemana,3377
Villarrica,687
Viña del mar,14346
Vitacura,4225
Yerbas buenas,80
Yumbel,188
Yungay,160
Zapallar,67
