Mes-Año,Valor
1/1/2014,1941.37574748
1/2/2014,1264.18789902
1/3/2014,2201.88149773
1/4/2014,2014.44511318
1/5/2014,2347.935757759999
1/6/2014,1995.694414839999
1/7/2014,2014.637229209999
1/8/2014,2159.30685933
1/9/2014,1947.289775400002
1/10/2014,1956.690373559999
1/11/2014,2039.49465669
1/12/2014,1619.292355300001
1/1/2015,2257.625037849999
1/2/2015,1954.039262459999
1/3/2015,1596.640801370001
1/4/2015,1649.38992863
1/5/2015,1743.409672400001
1/6/2015,1834.36425304
1/7/2015,1601.834674249999
1/8/2015,1553.89535619
1/9/2015,1587.28251711
1/10/2015,1321.67380752
1/11/2015,1413.08624788
1/12/2015,1376.0515722
1/1/2016,1435.1558446
1/2/2016,929.0912437599999
1/3/2016,1737.722728369999
1/4/2016,1683.054478480001
1/5/2016,1712.651930169999
1/6/2016,1518.03961967
1/7/2016,1256.667932729999
1/8/2016,1310.705208379999
1/9/2016,1453.706536350001
1/10/2016,1410.30205245
1/11/2016,1498.858590859998
1/12/2016,2045.85743657
1/1/2017,1591.03484171
1/2/2017,1484.013566319999
1/3/2017,1433.41918234
1/4/2017,1357.15787106
1/5/2017,1675.93401218
1/6/2017,1311.12576558
1/7/2017,1647.39289371
1/8/2017,2027.02088478
1/9/2017,1633.01866443
1/10/2017,2153.43138428
1/11/2017,2068.34810987
1/12/2017,2018.096747999999
1/1/2018,2251.5
1/2/2018,2064.5
1/3/2018,2005.2
1/4/2018,1973.0
1/5/2018,2294.2
1/6/2018,2423.9
1/7/2018,2107.5
1/8/2018,2056.0
1/9/2018,1303.6
1/10/2018,2048.2
1/11/2018,1880.8
1/12/2018,1769.7
1/1/2019,1997.7
1/2/2019,1399.7
1/3/2019,1896.5
1/4/2019,2100.0
1/5/2019,1928.6
1/6/2019,1838.6
1/7/2019,2125.3
1/8/2019,1993.8
1/9/2019,1477.9
1/10/2019,2143.4
1/11/2019,1595.7
1/12/2019,1867.8
1/1/2020,2019.7
1/2/2020,1408.477850619998
1/3/2020,1993.001277250002
1/4/2020,2054.097112949991
1/5/2020,1481.926804210001
1/6/2020,1909.20144004
1/7/2020,1926.676473870001
1/8/2020,1803.367448290009
1/9/2020,1328.00546302
1/10/2020,2096.333419140002
1/11/2020,1783.627884580001
1/12/2020,2301.31403483999
1/1/2021,2592.69884832
