Mes-Año,Valor
1/2/2014,4052113.0
1/3/2014,12016345.0
1/4/2014,24768107.0
1/5/2014,41427432.0
1/6/2014,62604830.0
1/7/2014,86637980.0
1/8/2014,114030109.0
1/9/2014,144647685.0
1/10/2014,179547241.0
1/11/2014,220271872.0
1/12/2014,272182560.0
1/1/2015,1578367.0
1/2/2015,6088495.0
1/3/2015,14697328.0
1/4/2015,26860839.0
1/5/2015,42137066.0
1/6/2015,61039964.0
1/7/2015,83660559.0
1/8/2015,108467740.0
1/9/2015,136219948.0
1/10/2015,165874339.0
1/11/2015,200360201.0
1/12/2015,248973894.0
1/1/2016,1748165.0
1/2/2016,9039253.0
1/3/2016,21266051.0
1/4/2016,42030402.0
1/5/2016,67078657.0
1/6/2016,96682754.0
1/7/2016,133195781.0
1/8/2016,176372636.0
1/9/2016,226973041.0
1/10/2016,284305291.0
1/11/2016,346544063.0
1/12/2016,421267751.0
1/1/2017,2560799.0
1/2/2017,8716988.0
1/3/2017,18730558.0
1/4/2017,32019522.0
1/5/2017,50430652.0
1/6/2017,73378094.0
1/7/2017,101111072.0
1/8/2017,134259581.0
1/9/2017,172193330.0
1/10/2017,212996888.0
1/11/2017,261500566.0
1/12/2017,335183133.0
1/1/2018,84.0
1/2/2018,6764286.0
1/3/2018,17766917.0
1/4/2018,33047009.414
1/5/2018,50938352.196
1/6/2018,72787781.694
1/7/2018,98085615.56100002
1/8/2018,126947353.235
1/9/2018,159563893.123
1/10/2018,198386685.227
1/11/2018,240901559.805
1/12/2018,297452005.474
1/1/2019,0.0
1/2/2019,5023407.925
1/3/2019,16398742.897
1/4/2019,35191199.92900001
1/5/2019,59124522.31900001
1/6/2019,86859266.46000001
1/7/2019,119049078.355
1/8/2019,156558296.381
1/9/2019,201249078.291
1/10/2019,283636870.481
1/11/2019,376208130.146
1/12/2019,487464031.4580001
1/1/2020,238416.014
1/2/2020,3396624.081
1/3/2020,13075856.367
1/4/2020,19115940.456
1/5/2020,22960193.839
1/6/2020,29589193.97
1/7/2020,39174326.976
1/8/2020,45836536.83600001
1/9/2020,50697138.38100001
1/10/2020,60819920.67699999
1/11/2020,72330150.66600001
1/12/2020,90247966.93600002
1/1/2021,1358940.755
1/2/2021,9557121.928
