Mes-Año,Valor,porcentaje
1/7/2016,56436.3734416654,0.0
1/8/2016,51689.97806347623,-8.41
1/9/2016,53275.63059096861,3.068
1/10/2016,44329.5751307058,-16.792
1/11/2016,47488.14583076422,7.125
1/12/2016,52377.96825769274,10.297
1/1/2017,58864.12801958146,12.383
1/2/2017,60546.10687131226,2.857
1/3/2017,49509.02652568778,-18.229
1/4/2017,45525.20566588162,-8.047
1/5/2017,45413.47000717693,-0.245
1/6/2017,45510.3905930527,0.213
1/7/2017,62087.3327724532,36.425
1/8/2017,54767.69383377358,-11.789
1/9/2017,54118.93724272052,-1.185
1/10/2017,51121.61571207807,-5.538
1/11/2017,52657.88625656688,3.005
1/12/2017,49811.88971107625,-5.405
1/1/2018,61207.27986437683,22.877
1/2/2018,63883.31420374036,4.372
1/3/2018,53490.34699896096,-16.269
1/4/2018,47999.96453019042,-10.264
1/5/2018,49834.01829650765,3.821
1/6/2018,53273.71869017657,6.902
1/7/2018,61413.46952267611,15.279
1/8/2018,52715.70410278869,-14.163
1/9/2018,54897.60893494115,4.139
1/10/2018,48893.21988277283,-10.937
1/11/2018,47367.69424801133,-3.12
1/12/2018,51354.35277843051,8.416
1/1/2019,64807.23599208085,26.196
1/2/2019,63725.68009257535,-1.669
1/3/2019,54839.88006037239,-13.944
1/4/2019,50964.78487249012,-7.066
1/5/2019,52330.16097051085,2.679
1/6/2019,49106.84267286195,-6.16
1/7/2019,64040.36403085058,30.41
1/8/2019,60849.1906046037,-4.983
1/9/2019,57858.36623102053,-4.915
1/10/2019,51605.79604361116,-10.807
1/11/2019,50290.95342473764,-2.548
1/12/2019,52992.03477923174,5.371
1/1/2020,58672.93436689355,10.72
1/2/2020,63463.20730979621,8.164
1/3/2020,48200.34011125709,-24.05
1/4/2020,45184.88439298856,-6.256
1/5/2020,39932.41084320562,-11.624
1/6/2020,32701.03366310441,-18.109
1/7/2020,33430.56855564112,2.231
1/8/2020,35530.12545945101,6.28
1/9/2020,33612.35771625045,-5.398
1/10/2020,36806.91967188429,9.504
1/11/2020,43242.20761014136,17.484
1/12/2020,47761.72364524828,10.452
1/1/2021,52625.02083973831,10.182
1/2/2021,50555.44436224076,-3.933
