Comuna,Frecuencia casos policiales violación (DMCS 2008-2019)
Algarrobo,30
Alhué,23
Alto biobío,18
Alto del carmen,3
Alto hospicio,246
Ancud,144
Andacollo,15
Angol,140
Antofagasta,680
Antuco,4
Arauco,69
Arica,533
Aysén,54
Buin,213
Bulnes,56
Cabildo,43
Cabo de hornos,2
Cabrero,80
Calama,381
Calbuco,87
Caldera,33
Calera de tango,55
Calle larga,18
Camarones,3
Camiña,4
Canela,9
Cañete,112
Carahue,73
Cartagena,80
Casablanca,54
Castro,133
Catemu,23
Cauquenes,82
Cerrillos,212
Cerro navia,390
Chaitén,7
Chanco,17
Chañaral,28
Chépica,19
Chiguayante,129
Chile chico,6
Chillán,423
Chillán viejo,62
Chimbarongo,65
Cholchol,33
Chonchi,26
Cisnes,9
Cobquecura,9
Cochamó,10
Cochrane,4
Codegua,27
Coelemu,33
Coihueco,54
Coinco,16
Colbún,53
Colchane,2
Colina,334
Collipulli,97
Coltauco,34
Combarbalá,4
Concepción,537
Conchalí,301
Concón,56
Constitución,99
Contulmo,23
Copiapó,366
Coquimbo,363
Coronel,184
Corral,12
Coyhaique,191
Cunco,45
Curacautín,42
Curacaví,78
Curaco de vélez,11
Curanilahue,81
Curarrehue,27
Curepto,15
Curicó,282
Dalcahue,27
Diego de almagro,24
Doñihue,52
El bosque,359
El carmen,27
El monte,49
El quisco,41
El tabo,43
Empedrado,2
Ercilla,23
Estación central,459
Florida,17
Freire,58
Freirina,13
Fresia,41
Frutillar,36
Futaleufú,4
Futrono,43
Galvarino,37
General lagos,5
Gorbea,38
Graneros,62
Guaitecas,12
Hijuelas,16
Hualaihué,28
Hualañé,12
Hualpén,124
Hualqui,49
Huara,12
Huasco,18
Huechuraba,201
Illapel,51
Independencia,237
Iquique,323
Isla de maipo,47
Isla de pascua,34
Juan fernández,3
La calera,89
La cisterna,200
La cruz,42
La estrella,5
La florida,747
La granja,285
La higuera,5
La ligua,65
La pintana,666
La reina,91
La serena,425
La unión,80
Lago ranco,22
Lago verde,1
Laguna blanca,0
Laja,35
Lampa,239
Lanco,24
Las cabras,57
Las condes,199
Lautaro,88
Lebu,84
Licantén,16
Limache,62
Linares,223
Litueche,13
Llaillay,41
Llanquihue,36
Lo barnechea,134
Lo espejo,318
Lo prado,230
Lolol,6
Loncoche,55
Longaví,86
Lonquimay,24
Los álamos,77
Los andes,153
Los ángeles,387
Los lagos,70
Los muermos,44
Los sauces,9
Los vilos,31
Lota,111
Lumaco,27
Machalí,82
Macul,213
Máfil,12
Maipú,880
Malloa,16
Marchigüe,16
Maria elena,9
Maria pinto,10
Mariquina,48
Maule,51
Maullín,28
Mejillones,22
Melipeuco,17
Melipilla,239
Molina,79
Monte patria,40
Mostazal,69
Mulchén,54
Nacimiento,42
Nancagua,18
Natales,62
Navidad,11
Negrete,16
Ninhue,11
Nogales,30
Nueva imperial,91
Ñiquén,24
Ñuñoa,209
O'higgins,0
Olivar,36
Ollagüe,0
Olmué,29
Osorno,447
Ovalle,177
Padre hurtado,121
Padre las casas,188
Paiguano,15
Paillaco,48
Paine,168
Palena,2
Palmilla,18
Panguipulli,84
Panquehue,17
Papudo,13
Paredones,5
Parral,84
Pedro aguirre cerda,244
Pelarco,18
Pelluhue,23
Pemuco,14
Pencahue,16
Penco,101
Peñaflor,149
Peñalolén,545
Peralillo,16
Perquenco,21
Petorca,10
Peumo,22
Pica,13
Pichidegua,22
Pichilemu,47
Pinto,26
Pirque,45
Pitrufquén,79
Placilla,11
Portezuelo,10
Porvenir,24
Pozo almonte,34
Primavera,0
Providencia,243
Puchuncaví,47
Pucón,87
Pudahuel,605
Puente alto,1371
Puerto montt,702
Puerto octay,37
Puerto varas,87
Pumanque,8
Punitaqui,21
Punta arenas,343
Puqueldón,3
Purén,34
Purranque,45
Putaendo,18
Putre,8
Puyehue,33
Queilén,14
Quellón,70
Quemchi,22
Quilaco,10
Quilicura,512
Quilleco,16
Quillón,61
Quillota,141
Quilpué,224
Quinchao,15
Quinta de tilcoco,24
Quinta normal,269
Quintero,71
Quirihue,30
Rancagua,573
Ránquil,14
Rauco,20
Recoleta,510
Renaico,27
Renca,467
Rengo,124
Requínoa,52
Retiro,27
Rinconada,18
Río bueno,83
Río claro,14
Río hurtado,4
Río ibáñez,5
Río negro,37
Río verde,0
Romeral,27
Saavedra,31
Sagrada familia,33
Salamanca,42
San antonio,214
San bernardo,769
San carlos,124
San clemente,102
San esteban,16
San fabián,12
San felipe,149
San fernando,156
San gregorio,4
San ignacio,47
San javier,102
San joaquín,190
San josé de maipo,46
San juan de la costa,36
San miguel,195
San nicolás,25
San pablo,24
San pedro,10
San pedro de atacama,23
San pedro de la paz,202
San rafael,16
San ramón,214
San rosendo,6
San vicente,120
Santa bárbara,48
Santa cruz,55
Santa juana,29
Santa maria,29
Santiago,1342
Santo domingo,13
Sierra gorda,5
Talagante,102
Talca,472
Talcahuano,280
Taltal,21
Temuco,672
Teno,43
Teodoro schmidt,45
Tierra amarilla,30
Tiltil,52
Timaukel,0
Tirúa,52
Tocopilla,63
Toltén,26
Tome,98
Torres del paine,1
Tortel,1
Traiguén,78
Treguaco,16
Tucapel,42
Valdivia,401
Vallenar,54
Valparaíso,680
Vichuquén,10
Victoria,73
Vicuña,52
Vilcún,63
Villa alegre,29
Villa alemana,208
Villarrica,161
Viña del mar,570
Vitacura,53
Yerbas buenas,48
Yumbel,51
Yungay,43
Zapallar,13
