Comuna,Frecuencia casos policiales robo lugar no habitado (DMCS 2008-2019)
Talagante,2712
Talca,7939
Talcahuano,5304
Taltal,561
Temuco,10542
Teno,843
Teodoro schmidt,342
Tierra amarilla,1231
Tiltil,912
Timaukel,6
Tirúa,621
Tocopilla,1432
Toltén,198
Tome,1669
Torres del paine,11
Tortel,7
Traiguén,560
Treguaco,110
Tucapel,429
Valdivia,5764
Vallenar,1630
Valparaíso,10595
Vichuquén,149
Victoria,1176
Vicuña,1062
Vilcún,816
Villa alegre,457
Villa alemana,2927
Villarrica,2180
Viña del mar,9691
Vitacura,4079
Yerbas buenas,446
Yumbel,647
Yungay,675
Zapallar,405
