Año,Emisiones (ton CO2e) CO2
1990,30405604.6261
1991,28899077.6336
1992,29889254.532399997
1993,32198766.9665
1994,34632066.71
1995,37622225.6125
1996,43406394.0602
1997,50024562.1519
1998,50508821.2866
1999,53051002.39210001
2000,49366981.35789999
2001,47222808.927600004
2002,47987275.4929
2003,48772414.128
2004,53370028.919
2005,54779296.3608
2006,55691695.8046
2007,65389285.5489
2008,66756933.5517
2009,64397067.8115
2010,65978095.219900005
2011,73651077.9052
2012,77451440.44170001
2013,77018348.3981
2014,74430394.6182
2015,80837031.7759
2016,84120987.61690001
